Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country
E Schiferli,2009-2009,2,2,8.0,0,69,1,1/33,69.00,8.62,48.0,0,0,2,0,Netherlands
PM Seelaar,2009-2016,12,8,19.0,0,145,5,2/9,29.00,7.63,22.8,0,0,7,0,Netherlands
J Smits,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands
MR Swart,2014-2014,7,5,10.0,0,98,2,1/19,49.00,9.80,30.0,0,0,2,0,Netherlands
RN ten Doeschate,2009-2009,2,2,8.0,0,77,3,2/35,25.66,9.62,16.0,0,0,0,0,Netherlands
LV van Beek,2014-2016,8,7,17.0,0,160,5,3/9,32.00,9.41,20.4,0,0,3,0,Netherlands
DLS van Bunge,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Netherlands
T van der Gugten,2014-2016,10,9,30.0,0,207,13,3/21,15.92,6.90,13.8,0,0,1,0,Netherlands
RE van der Merwe,2016-2016,3,2,4.0,0,31,3,2/3,10.33,7.75,8.0,0,0,1,0,Netherlands
PA van Meekeren,2016-2016,3,2,6.0,0,28,6,4/11,4.66,4.66,6.0,1,0,0,0,Netherlands
B Zuiderent,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Netherlands
CJ Anderson,2014-2016,9,9,24.0,0,176,6,2/28,29.33,7.33,24.0,0,0,6,0,NewZealand
SE Bond,2007-2010,11,11,43.0,1,325,12,2/12,27.08,7.55,21.5,0,0,1,0,NewZealand
TA Boult,2014-2014,2,2,8.0,0,45,4,3/20,11.25,5.62,12.0,0,0,0,0,NewZealand
DAJ Bracewell,2012-2012,2,2,4.5,0,39,4,3/31,9.75,8.06,7.2,0,0,2,0,NewZealand
NT Broom,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,1,0,NewZealand
IG Butler,2009-2010,7,7,18.0,1,127,9,3/19,14.11,7.05,12.0,0,0,1,0,NewZealand
BJ Diamanti,2009-2009,1,1,2.0,0,19,0,-,-,9.50,-,0,0,0,0,NewZealand
GD Elliott,2016-2016,5,5,13.0,0,75,3,3/12,25.00,5.76,26.0,0,0,1,0,NewZealand
JEC Franklin,2009-2012,8,6,12.0,0,101,3,2/34,33.66,8.41,24.0,0,0,5,0,NewZealand
PG Fulton,2007-2007,5,-,-,-,-,-,-,-,-,-,-,-,2,0,NewZealand
