Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role
Rashid Latif,6,2,0,26,26,13.00,26,100.00,0,0,1,1,2,Pakistan,1996,-,-,-,-,-,-,-,-,-,-,7,2,PAK,Wicket Keeper
Rashid Latif,6,5,1,122,36,30.50,107,114.01,0,0,1,9,3,Pakistan,2003,-,-,-,-,-,-,-,-,-,-,7,1,PAK,Wicket Keeper
Saeed Anwar,6,6,2,329,83*,82.25,343,95.91,0,3,0,29,5,Pakistan,1996,-,-,-,-,-,-,-,-,-,-,0,0,PAK,Batsman
Saeed Anwar,10,10,1,368,113*,40.88,511,72.01,2,0,0,42,0,Pakistan,1999,-,-,-,-,-,-,-,-,-,-,3,0,PAK,Batsman
Saeed Anwar,5,5,1,218,101,54.50,303,71.94,1,0,0,19,1,Pakistan,2003,4.0,0,15,1,1/15,15.00,3.75,24.0,0,0,0,0,PAK,Batsman
Saqlain Mushtaq,1,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,1996,10.0,1,38,2,2/38,19.00,3.80,30.0,0,0,1,0,PAK,Bowler
Saqlain Mushtaq,10,7,4,40,21,13.33,84,47.61,0,0,2,2,0,Pakistan,1999,83.4,4,379,17,5/35,22.29,4.52,29.5,0,1,3,0,PAK,Bowler
Saqlain Mushtaq,3,3,2,16,12*,16.00,37,43.24,0,0,0,2,0,Pakistan,2003,18.4,2,77,4,2/44,19.25,4.12,28.0,0,0,0,0,PAK,Bowler
PA Strang,6,4,3,52,22*,52.00,79,65.82,0,0,0,4,0,Zimbabwe,1996,42.1,4,192,12,5/21,16.00,4.55,21.0,1,1,1,0,ZIM,All Rounder
PA Strang,6,5,0,57,29,11.40,87,65.51,0,0,1,5,2,Zimbabwe,1999,44.3,2,196,3,2/22,65.33,4.40,89.0,0,0,1,0,ZIM,All Rounder
HH Streak,6,5,1,80,30,20.00,138,57.97,0,0,0,4,0,Zimbabwe,1996,44.0,8,175,4,3/60,43.75,3.97,66.0,0,0,1,0,ZIM,Bowler
HH Streak,8,7,4,82,18*,27.33,140,58.57,0,0,0,5,0,Zimbabwe,1999,68.0,3,326,11,3/35,29.63,4.79,37.0,0,0,2,0,ZIM,Bowler
HH Streak,8,6,2,166,72*,41.50,169,98.22,0,1,1,15,4,Zimbabwe,2003,63.0,2,303,7,2/35,43.28,4.80,54.0,0,0,4,0,ZIM,Bowler
GP Thorpe,6,6,2,254,89,63.50,333,76.27,0,2,0,19,1,England,1996,8.0,0,45,0,-,-,5.62,-,0,0,5,0,ENG,Batsman
GP Thorpe,5,4,1,125,62,41.66,181,69.06,0,1,0,16,0,England,1999,-,-,-,-,-,-,-,-,-,-,6,0,ENG,Batsman
SO Tikolo,6,5,0,196,96,39.20,242,80.99,0,2,1,16,6,Kenya,1996,10.0,0,83,1,1/26,83.00,8.30,60.0,0,0,3,0,KENYA,All Rounder
SO Tikolo,5,5,0,167,71,33.40,251,66.53,0,2,0,19,1,Kenya,1999,9.0,1,62,0,-,-,6.88,-,0,0,1,0,KENYA,All Rounder
SO Tikolo,9,9,0,206,56,22.88,360,57.22,0,2,0,22,2,Kenya,2003,36.3,1,153,9,3/14,17.00,4.19,24.3,0,0,1,0,KENYA,All Rounder
SO Tikolo,3,3,1,155,76,77.50,189,82.01,0,2,0,16,1,Kenya,2007,19.0,0,97,4,2/34,24.25,5.10,28.5,0,0,5,0,KENYA,All Rounder
SO Tikolo,5,5,0,44,13,8.80,86,51.16,0,0,0,5,0,Kenya,2011,21.0,1,117,1,1/44,117.00,5.57,126.0,0,0,0,0,KENYA,All Rounder
WPUJC Vaas,6,1,0,23,23,23.00,16,143.75,0,0,0,3,0,SriLanka,1996,49.0,6,193,6,2/30,32.16,3.93,49.0,0,0,0,0,SL,Bowler
WPUJC Vaas,5,5,3,60,29*,30.00,80,75.00,0,0,0,3,2,SriLanka,1999,47.0,4,230,7,3/46,32.85,4.89,40.2,0,0,1,0,SL,Bowler
WPUJC Vaas,10,8,3,102,28*,20.40,161,63.35,0,0,0,8,1,SriLanka,2003,88.0,14,331,23,6/25,14.39,3.76,22.9,1,1,3,0,SL,Bowler
WPUJC Vaas,10,4,2,34,19*,17.00,39,87.17,0,0,1,2,1,SriLanka,2007,77.4,15,286,13,3/33,22.00,3.68,35.8,0,0,3,0,SL,Bowler
Waqar Younis,6,1,1,4,4*,-,21,19.04,0,0,0,0,0,Pakistan,1996,54.0,5,253,13,4/26,19.46,4.68,24.9,1,0,2,0,PAK,Bowler
Waqar Younis,1,1,0,11,11,11.00,20,55.00,0,0,0,0,0,Pakistan,1999,9.0,1,36,2,2/36,18.00,4.00,27.0,0,0,0,0,PAK,Bowler
Waqar Younis,6,4,0,17,8,4.25,23,73.91,0,0,0,1,0,Pakistan,2003,30.1,2,177,7,2/37,25.28,5.86,25.8,0,0,3,0,PAK,Bowler
SK Warne,7,5,2,32,24,10.66,28,114.28,0,0,1,1,2,Australia,1996,68.3,3,263,12,4/34,21.91,3.83,34.2,2,0,1,0,AUS,Bowler
SK Warne,10,4,1,34,18,11.33,44,77.27,0,0,0,3,0,Australia,1999,94.2,13,361,20,4/29,18.05,3.82,28.3,2,0,1,0,AUS,Bowler
Abdul Razzaq,9,8,0,170,60,21.25,392,43.36,0,1,1,12,2,Pakistan,1999,77.0,5,302,13,3/25,23.23,3.92,35.5,0,0,1,0,PAK,All Rounder
Abdul Razzaq,5,5,0,99,47,19.80,148,66.89,0,0,0,10,0,Pakistan,2003,26.0,0,129,1,1/23,129.00,4.96,156.0,0,0,2,0,PAK,All Rounder
Abdul Razzaq,8,6,2,104,62,26.00,125,83.20,0,1,0,13,0,Pakistan,2011,37.0,6,161,5,2/8,32.20,4.35,44.4,0,0,0,0,PAK,All Rounder
MS Atapattu,5,5,0,139,54,27.80,205,67.80,0,2,0,12,0,SriLanka,1999,-,-,-,-,-,-,-,-,-,-,1,0,SL,Batsman
MS Atapattu,10,10,3,382,124,54.57,452,84.51,2,1,1,50,0,SriLanka,2003,-,-,-,-,-,-,-,-,-,-,2,0,SL,Batsman
JAR Blain,5,5,1,15,9,3.75,50,30.00,0,0,2,0,0,Scotland,1999,37.1,1,210,10,4/37,21.00,5.65,22.3,1,0,1,0,SCOT,Bowler
JAR Blain,3,2,1,41,23,41.00,63,65.07,0,0,0,2,2,Scotland,2007,13.0,0,90,2,2/29,45.00,6.92,39.0,0,0,0,0,SCOT,Bowler
MV Boucher,9,8,3,79,34,15.80,127,62.20,0,0,0,5,2,SouthAfrica,1999,-,-,-,-,-,-,-,-,-,-,11,0,SA,Wicket Keeper
MV Boucher,6,4,1,125,49,41.66,149,83.89,0,0,0,8,2,SouthAfrica,2003,-,-,-,-,-,-,-,-,-,-,11,0,SA,Wicket Keeper
MV Boucher,10,7,1,177,75*,29.50,129,137.20,0,2,2,13,11,SouthAfrica,2007,-,-,-,-,-,-,-,-,-,-,9,0,SA,Wicket Keeper
R Dravid,8,8,1,461,145,65.85,539,85.52,2,3,0,49,1,India,1999,-,-,-,-,-,-,-,-,-,-,2,0,INDIA,Batsman
R Dravid,11,10,5,318,62,63.60,496,64.11,0,2,0,21,1,India,2003,-,-,-,-,-,-,-,-,-,-,15,1,INDIA,Batsman
R Dravid,3,3,1,81,60,40.50,112,72.32,0,1,0,6,1,India,2007,-,-,-,-,-,-,-,-,-,-,0,0,INDIA,Batsman
