Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
Mohammad Ashraful,2003-2011,16,16,4,299,87,24.91,400,74.75,0,2,1,37,2,Bangladesh
Mohammad Mithun,2019-2019,3,3,0,47,26,15.66,56,83.92,0,0,1,5,1,Bangladesh
Mohammad Rafique,1999-2007,17,13,3,113,41*,11.30,191,59.16,0,0,3,6,4,Bangladesh
Mohammad Saifuddin,2019-2019,7,5,2,87,51*,29.00,72,120.83,0,1,1,12,1,Bangladesh
Mominul Haque,2015-2015,2,2,0,4,3,2.00,6,66.66,0,0,0,0,0,Bangladesh
Mosaddek Hossain,2019-2019,7,6,0,117,35,19.50,110,106.36,0,0,0,13,0,Bangladesh
Mushfiqur Rahim,2007-2019,29,28,5,877,102*,38.13,1104,79.43,1,6,2,71,10,Bangladesh
Mustafizur Rahman,2019-2019,8,4,1,1,1,0.33,7,14.28,0,0,2,0,0,Bangladesh
Naeem Islam,2011-2011,5,5,0,40,29,8.00,75,53.33,0,0,1,4,0,Bangladesh
Naimur Rahman,1999-1999,5,5,0,114,45,22.80,206,55.33,0,0,0,11,0,Bangladesh
Nasir Hossain,2015-2015,3,2,0,46,35,23.00,41,112.19,0,0,0,6,1,Bangladesh
Neeyamur Rashid,1999-1999,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,Bangladesh
Raqibul Hasan,2011-2011,4,4,1,70,38,23.33,116,60.34,0,0,1,1,1,Bangladesh
Rubel Hossain,2011-2019,14,9,6,20,9,6.66,40,50.00,0,0,2,3,0,Bangladesh
Sabbir Rahman,2015-2019,8,8,1,218,53,31.14,222,98.19,0,1,1,23,5,Bangladesh
Sanwar Hossain,2003-2003,6,6,1,63,25,12.60,86,73.25,0,0,0,5,0,Bangladesh
Shafiuddin Ahmed,1999-1999,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,Bangladesh
Shafiul Islam,2011-2011,6,5,1,26,24*,6.50,50,52.00,0,0,3,4,1,Bangladesh
Shahadat Hossain,2007-2007,1,1,1,0,0*,-,2,0.00,0,0,0,0,0,Bangladesh
Shahriar Hossain,1999-1999,3,3,0,41,39,13.66,68,60.29,0,0,1,5,0,Bangladesh
Shahriar Nafees,2007-2011,8,8,0,73,37,9.12,148,49.32,0,0,1,7,1,Bangladesh
Shakib Al Hasan,2007-2019,29,29,4,1146,124*,45.84,1393,82.26,2,10,1,107,8,Bangladesh
Sohrawordi Shuvo,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
Soumya Sarkar,2015-2019,14,14,0,341,51,24.35,362,94.19,0,1,0,47,5,Bangladesh
Syed Rasel,2007-2007,7,4,0,16,10,4.00,34,47.05,0,0,1,2,0,Bangladesh
Taijul Islam,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
Talha Jubair,2003-2003,2,1,1,4,4*,-,8,50.00,0,0,0,1,0,Bangladesh
Tamim Iqbal,2007-2019,29,29,0,718,95,24.75,982,73.11,0,4,3,83,4,Bangladesh
Tapash Baisya,2003-2007,5,3,1,7,5,3.50,31,22.58,0,0,1,0,0,Bangladesh
Taskin Ahmed,2015-2015,6,3,1,1,1,0.50,4,25.00,0,0,1,0,0,Bangladesh
Tushar Imran,2003-2003,3,2,0,57,48,28.50,105,54.28,0,0,0,3,1,Bangladesh
MM Ali,2015-2019,10,10,1,267,128,29.66,249,107.22,1,0,0,27,10,England
PJW Allott,1983-1983,7,3,1,8,8,4.00,15,53.33,0,0,1,0,0,England
DL Amiss,1975-1975,4,4,0,243,137,60.75,288,84.37,1,1,0,28,0,England
JM Anderson,2003-2015,25,10,5,15,8,3.00,42,35.71,0,0,3,1,0,England
JC Archer,2019-2019,11,7,3,13,7*,3.25,22,59.09,0,0,1,1,0,England
